Type,Side1,Unum1,Time1,Mode1,X1,Y1,Side2,Unum2,Time2,X2,Y2,Success
Pass,left,11,3,kick_off_l,0,0,left,6,6,-5.478,0.591,true
Pass,left,6,7,play_on,-5.5267,2.0135,left,8,13,0.704,10.9063,true
Dribble,left,8,13,play_on,0.704,10.9063,left,8,19,3.5744,8.9807,true
Dribble,left,8,19,play_on,3.5744,8.9807,left,8,24,6.1538,8.7127,true
Pass,left,8,27,play_on,5.4548,7.992,left,6,34,-0.1947,5.1239,true
Pass,left,6,35,play_on,0.2245,5.4698,left,8,41,2.8601,12.198,true
Dribble,left,8,41,play_on,2.8601,12.198,left,8,47,5.7499,10.5399,true
Pass,left,8,48,play_on,6.262,11.6199,left,10,57,15.6463,26.4297,true
Pass,left,10,58,play_on,15.7811,26.1358,left,8,63,9.2401,16.7788,true
Dribble,left,8,65,play_on,10.0073,16.7047,left,8,69,9.7433,14.8513,true
MultiTouch,left,8,69,play_on,9.7433,14.8513,neutral,-1,73,10.6491,12.9083,false
Pass,right,3,77,play_on,2.7608,7.4244,right,10,83,-1.6798,-6.2708,true
Dribble,right,10,85,play_on,-2.6891,-6.7321,right,10,89,-4.0614,-5.6696,true
Dribble,right,10,89,play_on,-4.0614,-5.6696,right,10,91,-5.0586,-4.9618,true
Dribble,right,10,92,play_on,-5.5479,-4.7791,right,10,94,-6.3838,-4.4092,true
Dribble,right,10,94,play_on,-6.3838,-4.4092,right,10,98,-7.7825,-4.5121,true
Dribble,right,10,98,play_on,-7.7825,-4.5121,right,10,101,-9.0839,-4.1385,true
Dribble,right,10,102,play_on,-9.3673,-5.5298,right,10,108,-11.9558,-5.5763,true
Pass,right,10,108,play_on,-11.9558,-5.5763,right,3,112,-14.5205,-5.6312,true
Dribble,right,3,114,play_on,-16.07,-6.3276,right,3,117,-16.3282,-6.2667,true
Dribble,right,3,117,play_on,-16.3282,-6.2667,right,3,126,-22.3538,-9.6184,true
Dribble,right,3,126,play_on,-22.3538,-9.6184,right,3,131,-26.6178,-11.6198,true
Pass,right,3,133,play_on,-26.9847,-11.4019,right,10,135,-24.3521,-10.1648,true
MultiTouch,right,10,137,play_on,-23.5526,-9.0461,neutral,-1,138,-23.4235,-9.1253,false
Dribble,right,9,147,play_on,-13.8043,-1.4727,right,9,152,-16.2212,-1.4251,true
Dribble,right,9,152,play_on,-16.2212,-1.4251,right,9,159,-21.7049,-1.5333,true
Dribble,right,9,159,play_on,-21.7049,-1.5333,right,9,161,-23.701,-1.4733,true
Pass,right,9,162,play_on,-23.327,-0.2222,right,6,167,-20.3775,10.7107,true
Dribble,right,6,167,play_on,-20.3775,10.7107,right,6,170,-22.2282,10.4155,true
Dribble,right,6,170,play_on,-22.2282,10.4155,right,6,175,-23.88,10.5006,true
Dribble,right,6,175,play_on,-23.88,10.5006,right,6,177,-25.8785,9.9672,true
Pass,right,6,179,play_on,-25.4622,9.1004,right,9,180,-24.2889,7.5811,true
Pass,right,9,180,play_on,-24.2889,7.5811,right,6,181,-25.5676,9.2764,true
Pass,right,6,182,play_on,-25.5298,8.9829,right,9,183,-24.7094,8.1478,true
Pass,right,9,186,play_on,-24.6551,7.3738,right,3,187,-24.0823,5.013,true
Dribble,right,3,188,play_on,-24.7756,4.4687,right,3,190,-26.2149,5.431,true
Pass,right,3,193,play_on,-25.114,6.2788,right,9,194,-23.7934,7.3661,true
Pass,right,9,194,play_on,-23.7934,7.3661,right,11,198,-25.6896,-1.4063,true
Pass,right,11,200,play_on,-26.2631,-1.1235,right,10,203,-25.5665,-1.0788,true
Pass,right,10,205,play_on,-25.9389,-1.3191,right,3,206,-26.6348,0.4422,true
Pass,right,3,207,play_on,-26.9116,1.2354,right,10,208,-25.6748,-0.388,true
Pass,right,10,208,play_on,-25.6748,-0.388,right,7,210,-22.5768,1.4729,true
Dribble,right,7,211,play_on,-22.7764,2.0505,right,7,215,-25.5582,1.0704,true
Pass,right,7,216,play_on,-25.7431,0.4402,right,11,220,-27.4348,-7.875,true
Pass,right,11,220,play_on,-27.4348,-7.875,right,8,223,-29.1539,-13.0851,true
Dribble,right,8,223,play_on,-29.1539,-13.0851,right,8,226,-30.5887,-13.9101,true
Dribble,right,8,227,play_on,-30.9682,-13.8447,right,8,231,-32.2165,-14.7603,true
Interception,right,8,234,play_on,-32.556,-16.3122,left,4,237,-38.078,-14.9929,true
Pass,left,4,239,play_on,-38.1367,-14.9984,left,7,242,-36.505,-10.1296,true
Interception,left,7,246,play_on,-36.1085,-10.1222,right,5,249,-30.4295,-13.7074,true
Pass,right,5,250,play_on,-30.4687,-13.8794,right,11,253,-34.2099,-9.5671,true
Dribble,right,11,254,play_on,-34.0429,-8.8644,right,11,257,-33.6572,-8.746,true
Pass,right,11,258,play_on,-34.6487,-8.8724,right,8,262,-38.0174,-17.317,true
Dribble,right,8,264,play_on,-38.7498,-16.6073,right,8,270,-40.0235,-15.5085,true
Pass,right,8,271,play_on,-39.0887,-14.2138,right,10,275,-37.9792,-3.297,true
Pass,right,10,277,play_on,-38.7236,-2.1604,right,7,280,-34.4142,0.8353,true
Pass,right,7,281,play_on,-34.5302,2.1137,right,6,285,-40.7439,9.1141,true
Shoot,right,6,287,play_on,-41.727,8.9735,neutral,-1,292,-54.6291,6.3916,true
Interception,right,6,287,play_on,-41.727,8.9735,left,11,295,0,0,true
Pass,left,11,295,kick_off_l,0,0,left,6,298,-5.5093,-0.1596,true
Dribble,left,6,298,play_on,-5.5093,-0.1596,left,6,301,-4.1154,-0.4137,true
Pass,left,6,301,play_on,-4.1154,-0.4137,left,11,303,-0.9262,-0.1665,true
Dribble,left,11,303,play_on,-0.9262,-0.1665,left,11,309,0.0862,2.8838,true
Pass,left,11,311,play_on,0.1411,3.4254,left,10,321,4.6025,26.5487,true
Dribble,left,10,321,play_on,4.6025,26.5487,left,10,330,11.5069,29.544,true
Dribble,left,10,330,play_on,11.5069,29.544,left,10,333,13.6594,29.9082,true
Pass,left,10,337,play_on,12.3652,30.0519,left,5,344,5.1491,27.2605,true
Dribble,left,5,345,play_on,5.1069,28.3437,left,5,350,7.5172,26.4252,true
