id,player_speed_max,stamina_inc_max,player_decay,inertia_moment,dash_power_rate,player_size,kickable_margin,kick_rand,extra_stamina,effort_max,effort_min,kick_power_rate,foul_detect_probability,catchable_area_l_stretch
0,1.05,45,0.4,5,0.006,0.3,0.7,0.1,50,1,0.6,0.027,0.5,1
1,1.05,48.8469,0.374139,4.35347,0.00535885,0.3,0.64973,0.0497302,71.5958,0.913617,0.513617,0.027,0.5,1.23818
2,1.05,45.2807,0.423917,5.59792,0.00595321,0.3,0.654488,0.054488,87.5313,0.849875,0.449875,0.027,0.5,1.22205
3,1.05,51.2315,0.455191,6.37976,0.00496142,0.3,0.769493,0.169493,93.9481,0.824207,0.424207,0.027,0.5,1.25226
4,1.05,41.5626,0.302024,2.55059,0.0065729,0.3,0.63909,0.0390905,51.8444,0.992623,0.592623,0.027,0.5,1.22504
5,1.05,49.9777,0.41737,5.43424,0.00517038,0.3,0.755292,0.155292,88.7073,0.845171,0.445171,0.027,0.5,1.28612
6,1.05,50.34,0.458886,6.47214,0.00511001,0.3,0.654511,0.0545105,99.7119,0.801152,0.401152,0.027,0.5,1.12524
7,1.05,47.5172,0.430701,5.76752,0.00558046,0.3,0.774757,0.174757,51.7444,0.993022,0.593022,0.027,0.5,1.23019
8,1.05,40.2506,0.373004,4.32511,0.00679156,0.3,0.606196,0.00619647,83.3869,0.866452,0.466452,0.027,0.5,1.03486
9,1.05,49.3613,0.453754,6.34385,0.00527311,0.3,0.734052,0.134052,55.5164,0.977934,0.577934,0.027,0.5,1.10069
10,1.05,42.8898,0.416007,5.40018,0.00635171,0.3,0.687905,0.0879054,70.8049,0.916781,0.516781,0.027,0.5,1.1534
11,1.05,41.1287,0.366298,4.15746,0.00664521,0.3,0.654134,0.0541343,92.9157,0.828337,0.428337,0.027,0.5,1.14656
12,1.05,47.7786,0.383337,4.58344,0.00553689,0.3,0.79416,0.19416,77.8269,0.888692,0.488692,0.027,0.5,1.26433
13,1.05,40.3948,0.371649,4.29122,0.00676754,0.3,0.675545,0.0755446,83.0355,0.867858,0.467858,0.027,0.5,1.06737
14,1.05,49.8629,0.431598,5.78994,0.00518952,0.3,0.699343,0.0993427,87.9598,0.848161,0.448161,0.027,0.5,1.215
15,1.05,46.6407,0.393026,4.82564,0.00572656,0.3,0.601438,0.00143754,68.1522,0.927391,0.527391,0.027,0.5,1.24855
16,1.05,49.6638,0.455578,6.38944,0.0052227,0.3,0.70794,0.10794,84.9252,0.860299,0.460299,0.027,0.5,1.04941
17,1.05,42.3139,0.353432,3.83579,0.00644768,0.3,0.655094,0.055094,88.6571,0.845372,0.445372,0.027,0.5,1.1763
