#,cycle,stopped,playmode,l_name,l_score,l_pen_score,r_name,r_score,r_pen_score,b_x,b_y,b_vx,b_vy,l1_t,l1_x,l1_y,l1_vx,l1_vy,l1_body,l1_neck,l1_vwidth,l1_stamina,l2_t,l2_x,l2_y,l2_vx,l2_vy,l2_body,l2_neck,l2_vwidth,l2_stamina,l3_t,l3_x,l3_y,l3_vx,l3_vy,l3_body,l3_neck,l3_vwidth,l3_stamina,l4_t,l4_x,l4_y,l4_vx,l4_vy,l4_body,l4_neck,l4_vwidth,l4_stamina,l5_t,l5_x,l5_y,l5_vx,l5_vy,l5_body,l5_neck,l5_vwidth,l5_stamina,l6_t,l6_x,l6_y,l6_vx,l6_vy,l6_body,l6_neck,l6_vwidth,l6_stamina,l7_t,l7_x,l7_y,l7_vx,l7_vy,l7_body,l7_neck,l7_vwidth,l7_stamina,l8_t,l8_x,l8_y,l8_vx,l8_vy,l8_body,l8_neck,l8_vwidth,l8_stamina,l9_t,l9_x,l9_y,l9_vx,l9_vy,l9_body,l9_neck,l9_vwidth,l9_stamina,l10_t,l10_x,l10_y,l10_vx,l10_vy,l10_body,l10_neck,l10_vwidth,l10_stamina,l11_t,l11_x,l11_y,l11_vx,l11_vy,l11_body,l11_neck,l11_vwidth,l11_stamina,r1_t,r1_x,r1_y,r1_vx,r1_vy,r1_body,r1_neck,r1_vwidth,r1_stamina,r2_t,r2_x,r2_y,r2_vx,r2_vy,r2_body,r2_neck,r2_vwidth,r2_stamina,r3_t,r3_x,r3_y,r3_vx,r3_vy,r3_body,r3_neck,r3_vwidth,r3_stamina,r4_t,r4_x,r4_y,r4_vx,r4_vy,r4_body,r4_neck,r4_vwidth,r4_stamina,r5_t,r5_x,r5_y,r5_vx,r5_vy,r5_body,r5_neck,r5_vwidth,r5_stamina,r6_t,r6_x,r6_y,r6_vx,r6_vy,r6_body,r6_neck,r6_vwidth,r6_stamina,r7_t,r7_x,r7_y,r7_vx,r7_vy,r7_body,r7_neck,r7_vwidth,r7_stamina,r8_t,r8_x,r8_y,r8_vx,r8_vy,r8_body,r8_neck,r8_vwidth,r8_stamina,r9_t,r9_x,r9_y,r9_vx,r9_vy,r9_body,r9_neck,r9_vwidth,r9_stamina,r10_t,r10_x,r10_y,r10_vx,r10_vy,r10_body,r10_neck,r10_vwidth,r10_stamina,r11_t,r11_x,r11_y,r11_vx,r11_vy,r11_body,r11_neck,r11_vwidth,r11_stamina
1,1,0,"kick_off_l","AEteam",0,0,"FRA-UNIted",0,0,0,0,0,0,0,-49,0,0,0,-2.171,-80,180,8000,7,-12.09,-6.17,0,0,15.779,-32,180,8000,4,-12.21,7.06,0,0,63.337,-62,180,8000,15,-10.18,-18.26,0,0,65.525,-41,120,8000,11,-10.18,20.04,0,0,-80.492,68,180,8000,9,-7.76,0.19,0,0,30.427,-28,180,8000,2,-0.89,-12.66,0,0,115.364,19,120,8000,17,-1.15,12.53,0,0,-79.035,90,180,8000,8,-0.89,-27.8,0,0,81.058,-89,180,8000,13,-0.64,27.42,0,0,-96.862,29,120,8000,10,-0.39,0,0,0,-177.652,90,180,8000,0,50.5,0,0,0,-167.003,-7.154,120,8000,4,20,17,0,0,160.209,-29.551,60,8000,7,20,5.44,0,0,-142.57,-25.125,60,8000,16,20,-5.44,0,0,-157.709,62.854,60,8000,10,20,-17,0,0,-137.08,3.647,60,8000,2,10.05,13.6,0,0,137.113,90,60,8000,15,10.05,0,0,0,-39.589,90,60,8000,11,10.05,-13.6,0,0,-128.302,-0.516,60,8000,13,3.1,20.4,0,0,140.588,74.856,60,8000,9,9.45,0,0,0,177.194,60.516,60,8000,8,3.1,-20.4,0,0,105.383,71.039,60,8000
2,2,0,"kick_off_l","AEteam",0,0,"FRA-UNIted",0,0,0,0,0,0,0,-48.6703,0.0101,0.1319,0.004,-2.171,-80,180,7991,7,-12.09,-6.17,0,0,66.843,89,60,8000,4,-11.8904,7.5889,0.0965,0.1598,63.337,-46,180,7941.56,15,-9.9485,-17.757,0.091,0.1977,65.525,-41,120,7946.64,11,-10.18,20.04,0,0,57.258,-90,120,8000,9,-7.2827,0.4866,0.2166,0.1346,30.427,-90,180,7949.36,2,-1.0933,-12.2263,-0.0862,0.1839,115.364,19,120,7945.28,17,-1.0105,11.9961,0.0493,-0.1887,-79.035,-90,120,7942.31,8,-0.7974,-27.1762,0.0345,0.2327,81.058,-90,180,7940.25,13,-0.6679,26.8713,-0.0104,-0.2039,-96.862,29,120,7940.39,10,-0.39,0,0,0,-179.537,-46,60,8000,0,50.5,0,0,0,-166.992,37.664,120,8000,4,19.3461,17.2441,-0.1975,0.0737,160.209,0.174,60,7941.56,7,19.6037,5.1092,-0.1707,-0.1425,-142.57,-47.3,60,7947.52,16,19.6223,-5.5923,-0.1721,-0.0694,-157.709,-89.146,60,7949.66,10,19.559,-17.4375,-0.1835,-0.182,-137.08,-83.387,60,7942.89,2,9.6721,13.9331,-0.1602,0.1412,137.113,90,60,7945.28,15,10.05,0,0,0,-174.581,69.028,60,8000,11,9.7041,-14.014,-0.1267,-0.1516,-128.302,-41.745,60,7941.13,13,2.6383,20.7289,-0.1716,0.1222,140.588,7.299,60,7940.39,9,9.45,0,0,0,178.905,20.058,60,8000,8,3.1,-20.4,0,0,98.823,52.208,60,8000
3,3,0,"kick_off_l","AEteam",0,0,"FRA-UNIted",0,0,0,0,0,0,0,-48.2047,-0.0056,0.1862,-0.0063,-2.171,82,180,7982,7,-11.8624,-5.6401,0.098,0.2282,66.843,24,60,7947.52,4,-11.4883,8.368,0.1214,0.2353,63.337,-25,60,7883.13,15,-9.8578,-17.5639,0.0357,0.0759,98.798,34,120,7993.28,11,-9.8841,20.4965,0.1084,0.1672,57.258,-90,120,7941.13,9,-6.6061,0.9104,0.307,0.1923,30.427,40,60,7898.72,2,-1.1849,-12.037,-0.0388,0.0802,87.779,-41,60,7990.56,17,-0.9627,11.8073,0.0169,-0.0667,22.364,89,120,7984.63,8,-0.6658,-26.308,0.0491,0.3238,81.058,50,120,7880.5,13,-0.6932,26.6725,-0.0094,-0.0739,173.916,-90,120,7980.79,10,-0.39,0,0,0,-179.537,-90,60,8000,0,50.5,0,0,0,179.424,-53.123,120,8000,4,18.5776,17.6069,-0.2321,0.1096,160.209,-43.642,60,7883.13,7,18.9908,4.6329,-0.264,-0.2052,-142.57,-9.867,60,7895.03,16,19.0304,-5.7822,-0.2697,-0.0866,-157.709,-20.923,60,7899.33,10,18.9465,-17.9828,-0.2548,-0.2268,-137.08,-43.659,60,7885.78,2,9.1824,14.3646,-0.2076,0.1829,137.113,90,60,7890.56,15,10.05,0,0,0,179.28,50.556,60,8000,11,9.244,-14.6631,-0.1685,-0.2378,-128.302,-11.125,60,7882.26,13,2.4825,20.8579,-0.0579,0.048,-116.343,-8.958,60,7980.79,9,9.45,0,0,0,137.225,90,60,8000,8,3.1,-20.4,0,0,56.109,77.978,60,8000
4,4,0,"play_on","AEteam",0,0,"FRA-UNIted",0,0,-1.9505,0.164,-1.8335,0.1541,0,-47.6489,-0.0023,0.2223,0.0013,-2.171,82,180,7973,7,-11.5928,-4.9428,0.1161,0.3003,66.843,-30,60,7895.03,4,-11.0725,9.1228,0.1256,0.228,63.337,-90,60,7824.69,15,-9.8228,-17.4869,0.0137,0.0303,-27.538,90,120,8000,11,-9.4993,21.1538,0.141,0.2408,57.258,0,120,7882.26,9,-5.8563,1.3498,0.3402,0.1994,30.427,-20,60,7848.08,2,-1.2213,-11.4485,-0.0154,0.2495,87.779,-90,60,7935.84,17,-0.9497,11.7406,0.0046,-0.0236,92.622,89,180,8000,8,-0.6051,-25.9797,0.0227,0.1225,6.809,76,120,7920.75,13,-0.7002,26.5999,-0.0026,-0.027,36.542,-66,120,8000,10,-0.39,0,0,0,-179.537,4,60,8000,0,49.919,0.0404,-0.2324,0.0162,179.424,-0.114,120,7945,4,17.7956,17.9347,-0.2362,0.099,160.209,-35.177,60,7824.69,7,18.2982,4.1091,-0.2983,-0.2256,-142.57,-38.396,60,7842.55,16,18.3492,-6.0421,-0.3103,-0.1184,-157.709,-90,60,7848.99,10,18.6817,-18.1986,-0.1102,-0.0898,-152.627,-90,60,7928.67,2,8.6279,14.8983,-0.2351,0.2262,137.113,46.296,60,7835.84,15,10.05,0,0,0,99.718,90,60,8000,11,8.7207,-15.3834,-0.1917,-0.2639,-128.302,-90,60,7823.39,13,2.4249,20.9047,-0.0214,0.0174,-156.453,-39.665,60,8000,9,9.45,0,0,0,90.578,90,60,8000,8,3.1,-20.4,0,0,-147.3,-89.022,60,8000
5,5,0,"play_on","AEteam",0,0,"FRA-UNIted",0,0,-3.766,0.3804,-1.7066,0.2034,0,-47.1169,-0.0031,0.2128,-0.0003,-2.171,82,180,7964,7,-11.4705,-4.6401,0.0527,0.1304,133.287,-61,60,7942.55,4,-10.9529,9.3603,0.0361,0.0717,134.88,75,180,7866.25,15,-9.8101,-17.4572,0.005,0.0117,-84.296,29,120,8000,11,-9.348,21.3774,0.0554,0.0819,76.45,-90,120,7923.39,9,-5.5501,1.2871,0.139,-0.0284,30.427,-90,60,7797.45,2,-1.2406,-11.191,-0.0082,0.1092,10.726,81,60,7981.12,17,-0.9495,11.9615,0.0001,0.0781,92.622,-90,180,8000,8,-0.5733,-25.8627,0.0118,0.0437,-30.207,90,120,7961,13,-0.436,26.7683,0.0982,0.0626,36.542,-90,120,7981.72,10,-0.39,0,0,0,17.552,19,60,8000,0,49.0806,0.0763,-0.3354,0.0144,179.424,0.886,120,7890,4,17.6954,17.7245,-0.0302,-0.0635,160.209,78.573,60,7766.25,7,18.014,3.9041,-0.1224,-0.0883,-166.33,-2.122,60,7890.07,16,18.0529,-6.155,-0.135,-0.0514,143.608,1.559,60,7898.66,10,18.5784,-18.2791,-0.043,-0.0335,-172.785,-48.153,60,7971.56,2,8.6271,14.9075,-0.0003,0.0039,137.113,90,60,7791.12,15,10.05,0,0,0,-175.238,-87.7,60,8000,11,8.5078,-15.6512,-0.078,-0.0981,148.133,27.779,60,7864.51,13,2.4025,20.9246,-0.0083,0.0074,-101.873,33.085,60,8000,9,9.45,0,0,0,-155.413,-19.999,60,8000,8,3.1,-20.4,0,0,39.073,26.763,60,8000
6,6,0,"play_on","AEteam",0,0,"FRA-UNIted",0,0,-5.478,0.591,-1.6093,0.198,0,-46.5799,-0.0233,0.2148,-0.0081,-2.171,3,180,7955,7,-11.4224,-4.5151,0.0207,0.0538,-125.556,85,60,7990.07,4,-11.3158,9.8762,-0.1096,0.1558,134.88,90,180,7807.81,15,-9.8055,-17.4457,0.0018,0.0045,-166.056,-70,120,8000,11,-9.288,21.4607,0.022,0.0305,129.181,75,120,7964.51,9,-5.4154,1.2602,0.0611,-0.0122,-1.248,72,60,7846.81,2,-1.2468,-11.0814,-0.0026,0.0465,-88.846,-31,180,8000,17,-0.9792,12.2637,-0.0105,0.1068,92.622,90,180,8000,8,-0.2739,-25.9631,0.1117,-0.0375,-30.207,90,120,7942.83,13,-0.0776,27.0525,0.1332,0.1056,36.542,-88,120,7963.45,10,-0.39,0,0,0,0.496,-85,60,8000,0,48.2263,0.1015,-0.3417,0.01,179.424,1.911,120,7835,4,17.66,17.6623,-0.0107,-0.0188,160.209,46.644,60,7807.81,7,17.3165,3.629,-0.3004,-0.1185,-166.33,87.891,60,7837.59,16,17.5715,-5.9378,-0.2193,0.0989,143.608,79.084,60,7848.32,10,17.9618,-18.3799,-0.2565,-0.0419,-172.785,12.775,60,7914.45,2,8.6266,14.9116,-0.0002,0.0018,-5.014,-74.115,60,7836.4,15,9.5424,-0.0342,0.021,0.0015,-175.238,83.718,60,7946.64,11,7.9625,-15.4587,-0.1997,0.0705,148.133,73.146,60,7805.64,13,2.3942,20.932,-0.0031,0.0027,-48.363,-60.999,60,8000,9,8.9528,-0.1455,0.0213,0.0064,-155.413,-27.274,60,7949.36,8,3.5572,-20.0843,0.1705,0.1178,39.073,-21.737,60,7940.25
7,7,0,"play_on","AEteam",0,0,"FRA-UNIted",0,0,-5.5267,2.0135,-0.0457,1.3372,0,-46.0308,-0.0461,0.2197,-0.0091,-2.171,3,180,7946,7,-11.7354,-4.9115,-0.1348,-0.1707,-125.556,35,60,7937.59,4,-11.9259,10.4829,-0.1842,0.1833,134.88,90,180,7749.38,15,-9.8035,-17.4413,0.0008,0.0017,-141.158,89,180,8000,11,-9.4501,21.716,-0.0594,0.0935,129.181,90,120,7955.64,9,-5.3504,1.2473,0.0295,-0.0059,-1.248,65,60,7896.17,2,-1.2475,-11.134,-0.0003,-0.0223,-88.846,-84,180,8000,17,-0.9916,12.4738,-0.0044,0.0742,92.622,-90,180,8000,8,0.1108,-26.2041,0.1435,-0.0899,-30.207,90,120,7924.65,13,0.3726,27.3746,0.1673,0.1197,36.542,-71,120,7945.17,10,-0.0205,-0.0118,0.1537,-0.0049,0.496,90,60,7979.98,0,47.339,0.0869,-0.3549,-0.0058,179.424,-0.089,120,7780,4,17.6478,17.6444,-0.0037,-0.0054,160.209,-5.857,60,7849.38,7,16.4366,3.4382,-0.379,-0.0822,-166.33,-8.057,60,7785.1,16,17.3481,-5.8315,-0.1018,0.0484,171.852,0.856,60,7897.98,10,17.6464,-18.1714,-0.1312,0.0867,-172.785,-45.319,60,7857.34,2,9.0818,14.7901,0.193,-0.0515,-5.014,89.885,60,7781.68,15,9.5637,-0.0321,0.0084,0.0008,-175.238,-5.95,60,7993.28,11,7.3346,-15.2593,-0.23,0.0731,148.133,-61.423,60,7746.77,13,2.3909,20.9348,-0.0012,0.0011,-112.852,-2.689,60,8000,9,8.4932,-0.345,-0.2086,-0.0905,-155.413,-28.367,60,7898.72,8,4.1681,-19.6128,0.2279,0.1759,39.073,74.427,60,7880.5
8,8,0,"play_on","AEteam",0,0,"FRA-UNIted",0,0,-4.3248,3.7516,1.1298,1.6338,0,-45.4511,-0.0415,0.2319,0.0018,-2.171,3,180,7937,7,-12.2022,-5.4921,-0.201,-0.2501,-125.556,85,60,7885.1,4,-12.5543,11.0744,-0.1898,0.1786,134.88,-89,180,7690.94,15,-9.8026,-17.4395,0.0004,0.0007,-157.166,-37,180,8000,11,-9.8599,22.2297,-0.1501,0.1882,129.181,90,120,7896.77,9,-5.3218,1.242,0.013,-0.0024,-1.248,-85,60,7945.53,2,-1.2433,-11.3943,0.0018,-0.1103,-88.846,-69,180,7998.3,17,-0.9906,12.5451,0.0003,0.0252,143.618,90,180,8000,8,0.2548,-26.3089,0.0537,-0.0391,-128.091,-90,120,7964.9,13,0.5405,27.4971,0.0624,0.0455,140.223,70,120,7985.57,10,0.4977,-0.0148,0.2156,-0.0012,0.496,-20,60,7959.95,0,46.3376,0.0539,-0.4006,-0.0132,179.424,-1.087,120,7725,4,17.6441,17.639,-0.0011,-0.0016,160.209,89.143,60,7890.94,7,15.5104,3.2321,-0.3989,-0.0888,-166.33,-11.22,60,7732.62,16,17.2489,-5.7729,-0.0452,0.0267,123.345,-89.144,60,7947.65,10,17.5046,-18.096,-0.059,0.0314,-172.785,-50.181,60,7900.23,2,9.7901,14.69,0.3003,-0.0424,-5.014,-44.115,60,7726.97,15,9.5722,-0.031,0.0033,0.0005,-175.238,-17.84,60,8000,11,6.6274,-15.0292,-0.259,0.0843,148.133,-16.046,60,7687.9,13,2.3898,20.9359,-0.0004,0.0004,-86.611,11.956,60,8000,9,7.8099,-0.6342,-0.31,-0.1312,-155.413,-41.444,60,7848.08,8,4.8972,-19.1026,0.272,0.1903,39.073,36.492,60,7820.75
9,9,0,"play_on","AEteam",0,0,"FRA-UNIted",0,0,-3.2465,5.3536,1.0135,1.5059,0,-44.8787,-0.0881,0.229,-0.0186,-2.171,5,180,7928,7,-12.3906,-5.7479,-0.0812,-0.1102,-100.078,90,180,7932.62,4,-12.743,11.2597,-0.057,0.056,93.968,-83,180,7732.5,15,-9.8022,-17.4388,0.0001,0.0003,-64.447,59,180,8000,11,-10.0196,22.4142,-0.0585,0.0676,49.482,-73,120,7937.9,9,-5.3092,1.2406,0.0057,-0.0007,172.96,15,60,7994.89,2,-1.2385,-11.506,0.002,-0.0473,-66.993,44,120,8000,17,-0.7128,12.3157,0.0982,-0.0811,143.618,55,180,7942.31,8,0.3061,-26.3522,0.0192,-0.0162,91.961,-20,120,8000,13,0.5987,27.5455,0.0216,0.018,-1.511,-90,60,8000,10,1.0808,-0.0323,0.2426,-0.0073,0.496,-85,60,7939.93,0,45.3588,0.0374,-0.3915,-0.0066,179.424,-4.087,120,7670,4,17.643,17.6373,-0.0003,-0.0005,160.209,36.37,60,7932.5,7,14.563,3.0834,-0.408,-0.064,-166.33,89.169,60,7680.14,16,17.2034,-5.7462,-0.0207,0.0122,92.548,43.334,60,7997.31,10,17.4439,-18.059,-0.0253,0.0154,-172.785,18.631,60,7943.12,2,10.0943,14.6535,0.1289,-0.0155,62.635,90,60,7772.25,15,9.5753,-0.0304,0.0013,0.0002,-175.238,79.788,60,8000,11,6.3699,-14.9478,-0.0943,0.0298,55.42,89.954,60,7729.03,13,2.4139,20.3569,0.009,-0.2152,-86.611,-19.921,60,7940.39,9,7.0675,-0.9266,-0.3369,-0.1327,-155.413,54.089,60,7797.45,8,5.6098,-18.545,0.2658,0.208,39.073,90,60,7761
10,10,0,"play_on","AEteam",0,0,"FRA-UNIted",0,0,-2.1659,6.865,1.0158,1.4207,0,-44.3221,-0.1233,0.2226,-0.0141,-2.171,2,180,7919,7,-12.5207,-6.1057,-0.056,-0.1541,-100.078,90,180,7940.14,4,-12.8343,11.5755,-0.0276,0.0954,93.968,-83,180,7734.06,15,-9.7014,-17.6887,0.0396,-0.0982,-64.447,90,120,7996.64,11,-9.8927,22.6875,0.0465,0.1001,49.482,-90,120,7929.03,9,-5.8254,1.2991,-0.2342,0.0266,172.96,-89,60,7944.25,2,-1.1418,-11.7699,0.041,-0.1119,-66.993,44,120,7998.3,17,-0.412,11.937,0.1063,-0.1338,143.618,-90,180,7884.63,8,0.3184,-26.0218,0.0046,0.1233,91.961,1,120,7981.82,13,0.9369,27.5675,0.1257,0.0082,-1.511,-81,120,7981.72,10,1.675,0.0013,0.2472,0.014,0.496,90,60,7919.91,0,44.3636,0.0439,-0.3981,0.0026,179.424,-4.207,120,7615,4,17.6426,17.6368,-0.0001,-0.0002,160.209,-12.824,60,7974.06,7,13.6678,2.9381,-0.3856,-0.0626,-166.33,45.169,60,7627.65,16,17.173,-5.3097,-0.0139,0.1988,92.548,-4.21,60,7946.97,10,17.4165,-18.0436,-0.0114,0.0064,78.203,0.631,60,7986.01,2,10.2131,14.635,0.0504,-0.0079,153.294,78.75,60,7817.53,15,9.5765,-0.0302,0.0005,0.0001,-175.238,-74.667,60,8000,11,6.2746,-14.9182,-0.0349,0.0108,-169.599,6.065,60,7770.16,13,2.4791,19.5546,0.0243,-0.2982,-86.611,-90,60,7880.79,9,6.2389,-1.2784,-0.376,-0.1597,-155.413,-9.172,60,7746.81,8,6.2998,-17.993,0.2574,0.2059,39.073,-67.5,60,7701.25
